task,transfer_cluster,mode,seed,agent,agent_model,agent_effort,valid_run,invalid_reasons,analytical_eligible,analytical_ineligible_reasons,task_success,score,hidden_micro_score,score_binary,feature_lift,feature_passed,feature_total,agent_rc,agent_attempts,agent_transient_retries,hidden_passed,hidden_total,hidden_failed,regression_green,tests_added,existing_tests_modified,existing_tests_deleted,architecture_score,architecture_green,files_changed,insertions,deletions,files_read,time_to_first_relevant_file_sec,wall_sec,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,total_cost_usd,num_turns,agent_touched_tests,retrieval_backend,retrieval_fallback,injected_fact_ids,context_chars,context_tokens,retrieval_precision,retrieval_coverage,irrelevant_facts,memory_instance_id,memory_parent_instance_id,memory_session_instance_created,memory_clone_wall_sec,memory_clone_provider_calls,memory_retention_deleted_instance_id,memory_retention_wall_sec,memory_retention_provider_calls,memory_state_before,memory_state_after,memory_creates,memory_updates,memory_stale,memory_noop,memory_gotchas,memory_schema_changes,memory_read_wall_sec,memory_write_wall_sec,memory_read_provider_calls,memory_write_provider_calls,evolution_checkpoint,evolve_wall_sec,evolve_backend_wall_sec,evolve_output_tokens,harmful_on_worse_off,harmful_stale_fact_used,harmful_regression_after_retrieval
a3,data-repository-invariants,memory-off,1,claude,claude-sonnet-5,medium,True,,True,,False,0.0,0.852,0.0,0.0,0,4,0,1,0,23,27,4,True,0,0,0,0.333,False,4,7,5,,,403.5,134,32637,3886049,92828,2.2134307000000004,67,False,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a3,data-repository-invariants,memory-off,2,claude,claude-sonnet-5,medium,True,,True,,False,0.0,0.852,0.0,0.0,0,4,0,1,0,23,27,4,True,0,0,0,0.333,False,4,8,4,,,535.9,188,42026,5798620,107861,3.0183970000000007,94,False,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a3,data-repository-invariants,memory-on,1,claude,claude-sonnet-5,medium,True,,False,regression_red,False,0.0,0.852,0.0,0.0,0,4,0,1,0,23,27,4,False,0,0,0,0.667,False,1,1,1,,,197.7,85,15684,1732985,56725,1.0957605000000001,49,False,xmemory,False,fact:ac-0004;fact:ac-0002;fact:ac-0001;fact:iv-0001;fact:iv-0004;fact:iv-0003;fact:iv-0002,3457,865,0.143,1.0,6,cfe00be1-92aa-4c41-a2e7-fe854a1e9c29,14dcb981-e731-4c76-ae1a-0219296ebe8a,True,33.9374,7,14dcb981-e731-4c76-ae1a-0219296ebe8a,0.7885,1,2,3,1,0,0,0,1,0,2.6485,21.7982,3,5,,,,,False,False,True
a3,data-repository-invariants,memory-on,2,claude,claude-sonnet-5,medium,True,,True,,False,0.0,0.852,0.0,0.0,0,4,0,1,0,23,27,4,True,0,0,0,0.333,False,4,9,5,,,4045.9,163,47307,5505375,110776,3.0405801000000015,84,False,xmemory,False,fact:ac-0002;fact:ac-0001;fact:ac-0004;fact:iv-0003;fact:iv-0004;fact:iv-0002;fact:iv-0001,3457,865,0.143,1.0,6,68256648-31e0-49d0-ab0f-9b38d620e302,e820bc9a-59e7-4fe5-a4e5-af4056bcd0f8,True,36.672,7,e820bc9a-59e7-4fe5-a4e5-af4056bcd0f8,0.7985,1,2,3,2,0,0,0,2,0,2.7115,24.7051,3,5,,,,,False,False,False
a3,data-repository-invariants,memory-on+evolve,1,claude,claude-sonnet-5,medium,True,,False,regression_red,False,0.0,0.852,0.0,0.0,0,4,0,1,0,23,27,4,False,0,0,0,0.333,False,4,8,4,,,574.9,167,45405,6117585,122181,3.2499375,93,False,xmemory,False,fact:ac-0002;fact:ac-0001;fact:ac-0004;fact:iv-0002;fact:iv-0001;fact:iv-0003;fact:iv-0004,3457,865,0.143,1.0,6,9868125d-b9b9-4bf2-a1a8-8a89cc8b9b0a,6c4be14f-99ec-4d56-985c-9fc1b0d438b0,True,33.607,7,6c4be14f-99ec-4d56-985c-9fc1b0d438b0,0.8452,1,2,3,2,0,0,0,1,0,2.6984,25.0556,3,5,,,,,False,False,True
a3,data-repository-invariants,memory-on+evolve,2,claude,claude-sonnet-5,medium,True,,False,regression_red,False,0.0,0.852,0.0,0.0,0,4,0,1,0,23,27,4,False,0,0,0,0.333,False,4,6,4,,,859.7,211,56426,7850073,135318,4.0139529000000005,106,False,xmemory,False,fact:ac-0004;fact:ac-0001;fact:ac-0002;fact:iv-0004;fact:iv-0001;fact:iv-0003;fact:iv-0002,3457,865,0.143,1.0,6,08a3911b-2d89-48eb-a9ac-ffc60747a7b5,836c39f6-98f1-4bcd-82bc-01d947604d8e,True,32.1474,7,836c39f6-98f1-4bcd-82bc-01d947604d8e,0.7932,1,2,3,2,0,0,0,1,0,10.5896,23.3789,3,5,,,,,False,False,True
a4,config-api-auth,memory-off,1,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.6,0.6,0.0,0.6,3,5,0,1,0,3,5,2,True,0,1,0,0.5,False,3,107,0,,,460.8,158,30220,4902090,103088,2.543742,83,True,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a4,config-api-auth,memory-off,2,claude,claude-sonnet-5,medium,True,,False,existing_tests_modified_or_deleted,False,0.4,0.4,0.0,0.4,2,5,0,1,0,2,5,3,True,0,1,0,0.5,False,2,94,1,,,310.2,62,11725,1240160,56303,0.8867600000000001,33,True,,False,,0,0,,0.0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,False,False,False
a4,config-api-auth,memory-on,1,claude,claude-sonnet-5,medium,True,,True,,False,0.4,0.4,0.0,0.4,2,5,0,1,0,2,5,3,True,0,0,0,1.0,True,2,109,12,,,223.3,71,16199,1559175,62424,1.0854945,37,False,xmemory,False,fact:ac-0002;fact:ac-0001;fact:ac-0004;fact:iv-0001;fact:iv-0004;fact:iv-0002;fact:iv-0003,3457,865,0.429,1.0,4,7ab34a4a-7ddf-49f2-9d1f-ab783c3d0061,cfe00be1-92aa-4c41-a2e7-fe854a1e9c29,True,32.5867,7,cfe00be1-92aa-4c41-a2e7-fe854a1e9c29,0.7879,1,3,4,2,0,0,0,1,0,2.6603,23.9515,3,5,,,,,True,False,False
a4,config-api-auth,memory-on,2,claude,claude-sonnet-5,medium,True,,True,,False,0.4,0.4,0.0,0.4,2,5,0,1,0,2,5,3,True,0,0,0,0.5,False,1,78,0,,,1577.0,107,21351,2492372,76237,1.5257195999999995,54,False,xmemory,False,fact:ac-0004;fact:ac-0002;fact:ac-0001;fact:iv-0004;fact:iv-0002;fact:iv-0003;fact:iv-0001,3457,865,0.429,1.0,4,6b3585bd-d9e7-41e1-8345-f72341e4a1bb,68256648-31e0-49d0-ab0f-9b38d620e302,True,35.6627,7,68256648-31e0-49d0-ab0f-9b38d620e302,0.7961,1,3,4,2,0,0,0,1,0,2.9537,23.7984,3,5,,,,,False,False,False
